Year,Rank,Company,Leadership,Country,Defense_Revenue_From_A_Year_Ago,Defense_Revenue_From_Two_Years_Ago,%Defense Revenue Change,Total Revenue,%of Revenue from Defence
2015,39,Harris11 12,"William Brown, Chairman, President & CEO",US,2384.7,2418,-1,5012,47.6
2015,40,Hewlett-Packard,"Meg Whitman, Chariman, President & CEO",US,2240.8,4070.4,-45,111500,2
2015,41,Rockwell Collins13,"Kelly Ortberg, President & CEO",US,2209,2395,-8,4979,44.4
2015,42,CSC,"Mike Lawrie, President & CEO",US,2177,2401,-9,12200,17.8
2015,43,Serco,"Rupert Soames, Group CEO",UK,2174.8,2124.6,2,7826.1,27.8
2015,44,ST Engineering,"Tan Pheng Hock, President & CEO",Singapore,2012.8,1988.2,1,5161,39
2015,45,Rafael Advanced Defense Systems,"Yedidia Yaari, President & CEO",Israel,1965.4,2115,-7,1965.4,100
2015,46,Kawasaki Heavy Industries7,"Shigeru Murayama, President",Japan,1909.2,1004.9,90,17094.7,11.2
2015,47,Cobham,"Bob Murphy, CEO",UK,1860,1907,-2,3051.4,61
2015,48,Oshkosh13,"Charles Szews, CEO",US,1725,3050,-43,6808,25.3
2015,50,Aerojet Rocketdyne15,"Eileen Drake, President",US,1591.2,1377.4,16,1597.4,99.6
2015,51,DynCorp,"James Geisler, CEO",US,1579,3100,-49,2252,70.1
2015,52,Uralvagonzavod6,"Oleg Sienko, CEO",Russia,1545,1529,1,2992,51.6
2015,53,Hanwha16,"Lee Tae-jong, Executive Vice President",South Korea,1545,1529.7,1,5154.3,30
2015,54,Engility,"Anthony Smeraglinolo, President & CEO",US,1530,846,81,2500,61.2
2015,55,Embraer,"Frederico Fleury Curado, President & CEO",Brazil,1459.5,1101.8,32,6357.6,23
2015,56,Fincantieri,"Giuseppe Bono, CEO",Italy,1406.8,1543.2,-9,5845.8,24.1
2015,57,Nexter,"Philippe Burtin, CEO",France,1392.8,1078.3,29,1392.8,100
2015,58,Dassault Aviation,"Eric Trappier, CEO",France,1332.3,1923.8,-31,4890.6,27.2
2015,59,LIG Nex1,"Lee Hyo-koo, CEO",South Korea,1330.1,1087.4,22,1330.1,100
2015,60,Fluor,"David Seaton, Chairman & CEO",US,1319.3,1752.7,-25,21531,6.1
2015,61,Korea Aerospace Industries,"Ha Sung-yong, President and CEO",South Korea,1160,1364.2,-15,2199.1,52.7
2015,62,Aselsan,"Faik Eken, CEO",Turkey,1109,1001.4,11,1142.5,97.1
2015,63,Accenture17,"Pierre Nanterme, CEO",US,1059.5,888,19,30000,3.5
2015,64,ManTech,"George Pedersen, Chairman & CEO",US,1046.7,2208,-53,1774,59
2015,65,QinetiQ3,"Steve Wadey, CEO",UK,1017.9,1286,-21,1288.4,79
2015,66,NEC7,"Nobuhiro Endo, President",Japan,1011,846.9,19,29296.3,3.5
2015,67,GKN Aerospace,"Kevin Cummings, CEO",UK,990.2,993.4,0,3667.6,27
2015,68,Ultra Electronics3 18,"Rakesh Sharma, CEO",UK,951.5,932.3,2,1174.7,81
2015,69,RTI,"Sergey Boev, CEO",Russia,947.2,819,16,1877.3,50.5
2015,70,Krauss-Maffei Wegmann,"Frank Haun, CEO",Germany,934.6,1096.2,-15,934.6,100
2015,71,Kongsberg,"Walter Qvam, President & CEO",Norway,929.8,1272.2,-27,2644,35.2
2015,73,Samsung Techwin19,"Kim Cheol-kyo, CEO",South Korea,904.8,945,-4,2484.8,36.4
2015,74,PAE,"John Heller, CEO",US,895.2,704.1,27,1816.5,49.3
2015,75,Meggitt,"Stephen Young, CEO",UK,888.7,1015.4,-12,2559.9,34.7
2015,76,Bharat Electronics7,"S.K. Sharma, Chairman & Managing Director",India,875.7,853.4,3,1094.6,80
2015,77,Mitsubishi Electric7,"Kenichiro Yamanishi, CEO",Japan,860.3,1102.4,-22,43143.5,2
2015,78,Turkish Aerospace Industries6,"Muharrem Dörtkasli, President & CEO",Turkey,853.6,788.4,8,1001,85.3
2015,79,Moog,"John Scannell, CEO",US,837.8,861,-3,2648.4,31.6
2015,80,AAR Corp20,"David Storch, Chairman & CEO",US,827.4,839.2,-1,2035,40.7
2015,81,Cubic13,"Bradley Feldmann, President & CEO",US,798.7,831.7,-4,1398.4,57.1
2015,82,CAE,"Marc Parent, President & CEO",Canada,755.6,772.4,-2,1979.3,38.2
2015,83,Alion Science and Technology,"Bahman Atefi, Chairman & CEO",US,753.7,790.9,-5,804.8,93.7
2015,84,Curtiss-Wright,"David Adams, Chairman & CEO",US,749.6,730.1,3,2243.1,33.4
2015,85,Chemring21,"Michael Flowers, Group Chief Executive",UK,723.7,973.2,-26,786.6,92
2015,86,Ruag,"Urs Breitmeier, CEO",Switzerland,718.4,750.8,-4,1670.8,43
2015,87,Ball Aerospace & Technologies,"Robert Strain, President",US,681,677,1,934.8,72.8
2015,88,Indra,"Frenando Abril-Martorell, Chairman",Spain,676,678,0,3904.4,17.3
2015,89,Wyle,"Roger Wiederkehr, President & CEO",US,650.7,676.9,-4,865.5,75.2
2015,90,Diehl Defence Holding,"Claus Günther, CEO",Germany,648.5,730.3,-11,4038.9,16.1
2015,91,IHI7,"Tamotsu Saito, CEO",Japan,617.8,512,21,14528.9,4.3
2015,92,Ukroboronprom,"Roman Romanov, General Director",Ukraine,575.9,681.1,-15,575.9,100
2015,93,Battelle13,"Jeffrey Wadsworth, President & CEO",US,569.2,613.9,-7,5600,10.2
2015,94,Patria22,"Heikki Allonen, President & CEO",Finland,555.8,1028.3,-46,614.5,90.4
2015,95,Day & Zimmerman,"Hal Yoh, Chairman & CEO",US,555,518.8,7,2500,22.2
2015,96,ViaSat,"Mark Dankberg, Chairman & CEO",US,535.5,565.2,-5,1382.5,38.7
2015,97,Nammo,"Edgar Fossheim, President & CEO",Norway,527.4,529.8,0,591.6,89.1
2015,99,Israel Military Industries,"Avi Felder, President & CEO",Israel,475.8,560,-15,475.8,100
2015,100,Denel,"Zoli - Kunene, Chairman",South Africa,454.6,388.2,17,454.6,100
2014,1,Lockheed Martin,"Marillyn Hewson, Chairman, President & CEO",US,40494,44883,-10,45358,89.3
2014,2,Boeing,"W. James McNerney, Chairman & CEO",US,32000,31378,2,86623,36.9
2014,3,BAE Systems,"Ian King, CEO",UK,28014,26813.1,4,29802.5,94
2014,4,Raytheon1,"Thomas Kennedy, CEO",US,22047.6,22705,-3,23706,93
2014,5,Northrop Grumman,"Wes Bush, Chairman, President & CEO",US,19500,20600,-5,24661,79.1
2014,6,General Dy-mics,"Phebe Novakovic, Chairman & CEO",US,18836,21023,-10,31218,60.3
2014,7,Airbus Group2,"Thomas Enders, CEO",Netherlands,16546.5,14913,11,81192.6,20.4
2014,8,United Technologies,"Louis Chenevert, Chairman & CEO",US,11894,12117,-2,62600,19
2014,9,Thales,"Jean-Ber-rd Levy, Chairman & CEO",France,10961.6,9212.6,19,19456.8,56.3
2014,10,Finmeccanica,"Mauro Moretti, General Ma-ger & CEO",Italy,10896.3,12528.7,-13,21968.4,49.6
2014,11,L-3 Communications,"Michael Strianese, Chairman, President & CEO",US,10337,10839,-5,12629,81.9
2014,12,Almaz-Antey,"Vladislaw Vladamirovich Menshikov, General Director",Russia,8326.3,5754.3,45,8326.3,100
2014,13,Huntington Ingalls Industries,"Mike Petters, President & CEO",US,6324,6240.3,1,6800,93
2014,14,Rolls-Royce3,"John Rishton, CEO",UK,6123.6,5098,20,25409.2,24.1
2014,15,Honeywell,"David Cote, Chairman & CEO",US,4900,5100,-4,39055,12.5
2014,16,DCNS,"Patrick Boissier, Chairman & CEO",France,4601.7,3766.8,22,4601.7,100
2014,17,Textron,"Scott Donnelly, President & CEO",US,4236.4,4288,-1,12104,35
2014,18,Booz Allen Hamilton**,"Ralph Shrader, Chairman & CEO",US,4100,4800,-15,5758.1,71.2
2014,18,GE**,"Jeffrey Immelt, Chairman & CEO",US,4100,4000,2,146045,2.8
2014,20,Exelis,"David Melcher, President & CEO",US,4093,4251.5,-4,4816,85
2014,21,Leidos4,"Roger Krone, CEO",US,4080,4680,-13,5772,70.7
2014,22,Hewlett-Packard,"Meg Whitman, Chairman, President & CEO",US,4070.7,2668.8,53,112000,3.6
2014,23,Safran,"Jean-Paul Herteman, Chairman & CEO",France,4027,3486.5,16,20135.1,20
2014,24,Babcock Inter-tio-l,"Peter Rogers, CEO",UK,3423.8,3110.8,10,5803.1,59
2014,25,Russian Helicopters,"Alexander Mikheev, CEO",Russia,3406.4,3489.1,-2,4230.8,80.5
2014,26,Mitsubishi Heavy Industries5,"Shunichi Miya-ga, President & CEO",Japan,3354.9,2907.6,15,36252,9.3
2014,27,Oshkosh6,"Charles Szews, CEO",US,3047,3947.5,-23,7665.1,39.8
2014,28,Rheinmetall,"Armin Papperger, CEO",Germany,2952.8,3001.9,-2,6320.7,46.7
2014,29,Saab,"HÃ¥kan Buskhe, President & CEO",Sweden,2948.3,3013.1,-2,3652.8,80.7
2014,30,Elbit Systems,"Bezhalel Machlis, President & CEO",Israel,2925.2,2744.2,7,2925.2,100
2014,31,SAIC7,"Anthony Moraco, CEO",US,2884.7,3346.7,-14,4121,70
2014,32,CACI Inter-tio-l8,"Ken Asbury, President & CEO",US,2735.1,2944.9,-7,3682,74.3
2014,33,URS,"Martin Koffel, CEO",US,2702.9,3471.2,-22,10990.7,24.6
2014,34,United Engine-Building,"Vladislav Masalov, General Director",Russia,2647,1857.6,42,4859.1,54.5
2014,35,Israel Aerospace Industries9,"Joseph Weiss, President & CEO",Israel,2646,2481,7,3642,72.7
2014,36,Bechtel,"Craig Albert, Chairman",US,2600,2500,4,39400,6.6
2014,37,ATK,"Mark DeYoung, President & CEO",US,2525,3047,-17,4800,52.6
2014,38,DynCorp,"Steven Gaffney, Chairman & CEO",US,2479.6,3100.3,-20,3287.2,75.4
2014,39,Hindustan Aero-utics10,"Ravindra Tyagi, Chairman & Ma-ging Director",India,2459,2619.8,-6,2535.1,97
2014,40,Harris11,"William Brown, Chairman, President & CEO",US,2418,2794.4,-13,5111.7,47.3
2014,41,CSC,"Mike Lawrie, President & CEO",US,2401,3687,-35,12998,18.5
2014,42,Rockwell Collins6,"Kelly Ortberg, President & CEO",US,2395,2591,-8,4610,52
2014,43,ManTech,"George Pederson, Chairman & CEO",US,2207.6,2464,-10,2310.1,95.6
2014,44,Fluor12,"David Seaton, Chairman & CEO",US,2162.3,1865.4,16,27351.6,7.9
2014,46,Aviation Holding Co. Sukhoi,"Igor Yakovlevich Ozar, General Director",Russia,2126.7,2270.8,-6,2739.9,77.6
2014,47,Serco1,"Rupert Soames, CEO",UK,2124.6,1946.4,9,8430.9,25.2
2014,48,Rafael Advanced Defense Systems,"Yedidia Yaari, President & CEO",Israel,2115,1781.5,19,2115,100
2014,49,ST Engineering,"Tan Pheng Hock, President & CEO",Singapore,1988.2,1889.1,5,5232.2,38
2014,50,Dassault Aviation,"Eric Trappier, Chairman & CEO",France,1923.8,1470.7,31,6293.3,30.6
2014,51,Cobham,"Bob Murphy, CEO",UK,1907,1890.5,1,2933.9,65
2014,52,Concern Radio-Electronic Technologies,"Nikolay Kolesov, General Director",Russia,1801,1603.7,12,2364.7,76.2
2014,53,Fincantieri,"Giuseppe Bono, CEO",Italy,1543.2,1149.8,34,5221.8,29.6
2014,54,GenCorp,"Scott J. Seymour, President & CEO",US,1377.4,986.1,40,1383.1,99.6
2014,55,Korea Aerospace Industries13,"Ha Sung-yong, President & CEO",South Korea,1364.2,1039.5,31,1814.7,75.2
2014,56,Irkut,"Roman Zhurenko, General Director",Russia,1350.7,1045.1,29,1857.1,72.7
2014,57,Kongsberg,"Walter Qvam, President & CEO",Norway,1272.2,1183.2,8,2650.4,48
2014,58,QinetiQ1,"Leo Quinn, CEO",UK,1268,1410.4,-10,1950.8,65
2014,59,Mitsubishi Electric5,"Masaki Sakuyama, President & CEO",Japan,1102.4,1500.4,-27,42975.6,2.6
2014,60,Embraer,"Frederico Fleury Curado, President & CEO",Brazil,1101.8,1068.1,3,5776.1,19.1
2014,61,Krauss-Maffei Wegmann,"Frank Haun, CEO",Germany,1096.2,1028.5,7,1096.2,100
2014,62,LIG Nex1,"Lee Hyo koo, CEO",South Korea,1087.4,856.9,27,1087.4,100
2014,63,Nexter,"Philippe Burtin, CEO",France,1078.3,953.9,13,1078.3,100
2014,64,Patria,"Heikki Allonen, President & CEO",Finland,1028.3,851.1,21,1130.1,91
2014,65,Meggitt1,"Stephen Young, CEO",UK,1015.4,988.9,3,2672.1,38
2014,66,Kawasaki Heavy Industries5,"Shigeru Murayama, President",Japan,1004.9,1790.8,-44,14686.1,6.8
2014,67,Aselsan,"Faik Eken, CEO",Turkey,1001.4,862.4,16,1030.8,97.1
2014,68,GKN Aerospace1,"Marcus Bryson, CEO",UK,993.4,1806.6,-45,3676.9,27
2014,69,"Chemring1,6","Michael Flowers, CEO",UK,973.2,1133.4,-14,1024.4,95
2014,70,Samsung Techwin,"Kim Cheol-kyo, CEO",South Korea,945,990,-5,2610,36.2
2014,71,RSK MiG,"Sergey Sergeyevich Korotkov, General Director",Russia,927.2,578.2,60,927.2,100
2014,72,Accenture14,"Pierre -nterme, Chairman & CEO",US,888,860,3,28562.8,3.1
2014,73,Moog,"John Scannell, Chairman & CEO",US,861,857.1,0,2610,33
2014,74,Bharat Electronics10,"Sunil Kumar Sharma, Chairman & Ma-ging Director",India,853.4,956.9,-11,1004,85
2014,75,NEC5,"Nobuhiro Endo, President",Japan,846.9,1974.7,-57,32256.9,2.6
2014,76,Cubic6,"William Boyle, CEO",US,843.6,866.8,-3,1361.4,62
2014,77,AAR15,"David Storch, Chairman & CEO",US,839.2,930.4,-10,2137.3,39.3
2014,78,RTI,"Boev Sergey, General Director",Russia,819,801.8,2,2139.6,38.3
2014,79,Alion Science and Technology,"Bahman Atefi, Chairman & CEO",US,788.7,748.4,5,849,92.9
2014,80,Turkish Aerospace Industries,"Muharrem DÃ¶rtkasli, President & CEO",Turkey,788.4,693.4,14,912.7,86.4
2014,81,CAE,"Marc Parent, President & CEO",canada,772.4,833.5,-7,1987.2,38.9
2014,82,Curtiss-Wright,"David Adams, President & CEO",US,760.9,779.5,-2,2510.8,30.3
2014,83,Ruag1,"Urs Breitmeier, CEO",Swiss,750.8,964.6,-22,1706.5,44
2014,84,Diehl Defence Holding,"Claus GÃ¼nther, CEO",Germany,730.3,707.1,3,3980.4,18.3
2014,85,PAE,"John Heller, CEO",US,704.1,437,61,1296.1,54.3
2014,86,Ultra Electronics1,"Rakesh Sharma, CEO",UK,696.3,964.5,-28,1221.6,57
2014,87,Indra,"Javier MonzÃ³n, Chairman",Spain,678,595.5,14,3992.9,17
2014,88,Ball Aerospace & Technologies,"Robert Strain, President",US,677,603,12,897,75.5
2014,89,Wyle,"George Melton, Chairman, President & CEO",US,676.9,913.1,-26,902.8,75
2014,90,FLIR13,"Andrew Teich, President & CEO",US,650,690,-6,1496.4,43.4
2014,91,Battelle6,"Jeffrey Wadsworth, President & CEO",US,613.9,688,-11,5600,11
2014,92,"Jacobs Engineering6,12","Craig Martin, President & CEO",US,582.1,1441.3,-60,11818.4,4.9
2014,93,ViaSat17,"Mark Dankberg, Chairman & CEO",US,565.2,527.8,7,1351.5,41.8
2014,94,Israel Military Industries,"Avi Felder, President & CEO",Israel,560,520,8,560,100
2014,95,#NAME?,"Troy Clarke, President & CEO",US,541,1000,-46,10775,5
2014,96,#NAME?,"Edgar Fossheim, President & CEO",Norway,529.8,595.1,-11,602.1,88
2014,97,Day & Zimmermann,"Harold Yoh, Chairman & CEO",US,518.8,618.4,-16,2200,23.6
2014,98,IHI5,"Tamotsu Saito, President & CEO",Japan,512,335.2,53,13822.4,3.7
2014,99,Mission Essential,"Peter Horvath, Chairman & CEO",US,490,797.4,-39,490,100
2014,100,Griffon6,"Ro-ld J. Kramer, CEO",US,426.2,397.4,7,1871.3,22.8
2013,1,Lockheed Martin Corporation,"Marillyn Hewson, President & CEO",US,44883,43978,2,47182,95.1
2013,2,Boeing,"W. James McNerney, Chairman & CEO",US,31378,30700,2,81698,38.4
2013,3,BAE,"Ian King, CEO",UK,26813.124,29130.2,-8,28255.201,94.9
2013,4,Raytheon Company 1,"William Swanson, Chairman & CEO",US,22705.02,23055.6,-2,24414,93
2013,5,General Dy-mics,"Phebe Novakovic, Chairman & CEO",US,21023,23491,-11,31513,66.7
2013,6,Northrop Grumman Corporation,"Wes Bush, Chairman, President & CEO",US,20600,21400,-4,25218,81.7
2013,7,EADS N.V.2,"Thomas Enders, CEO",Netherlands,14912.96,16092.9,-7,72636.4,20.5
2013,8,Finmeccanica,"Alessandro Pansa, COO & CEO",Italy,12528.67081,14584.6,-14,22135.46594,56.6
2013,9,United Technologies,"Louis Chenevert, Chairman & CEO",US,12117,11000,10,57700,21
2013,10,L-3 Communications,"Michael Strianese, Chairman, President & CEO",US,10839,12521,-13,13146,82.5
2013,11,Thales,"Jean-Ber-rd Levy, Chairman & CEO",France,9212.6096,9492.6,-3,18255.52,50.5
2013,12,SAIC3,"John Jumper, Chairman & CEO",US,8301,8577,-3,11200,74.1
2013,13,Huntington Ingalls Industries,"Mike Petters, President & CEO",US,6240.3,6119.4,2,6710,93
2013,14,Almaz-Antey,"Vladislaw Vladamirovich Menshikov, General Director",Russia,5754.33267,3552,62,6123.99627,94
2013,15,Honeywell,"David Cote, Chairman & CEO",US,5100,5300,-4,37700,13.5
2013,16,Rolls-Royce4,"John Rishton, CEO",UK,5097.9799,4691.5,9,19347.6023,26.3
2013,17,Booz Allen Hamilton,"Ralph Shrader, Chairman, President & CEO",US,4800,4860,-1,5859.218,81.9
2013,18,Textron Inc.,"Scott Donnelly, President & CEO",US,4288,4171,3,12237,35
2013,19,Exelis,"David Melcher, President & CEO",US,4251.5,4087.3,4,5522,77
2013,20,GE,"Jeffrey Immelt, Chairman & CEO",US,4000,3700,8,147359,2.7
2013,21,Oshkosh5,Charles Szews. CEO,US,3947.5,4365.2,-10,8180.9,48.3
2013,22,DCNS,"Patrick Boissier, Chairman & CEO",France,3766.808,3647,3,3766.808,100
2013,23,CSC6,"Mike Lawrie, President & CEO",US,3687,4498,-18,15000,24.6
2013,24,Russian Helicopters,"Dmitry Yevgenievich Petrov, CEO",Russia,3489.1095,2644.3,32,4036.5429,86.4
2013,25,Safran,"Jean-Paul Herteman, Chairman & CEO",France,3486.5472,3267.3,7,17432.736,20
2013,26,URS,"Martin Koffel, CEO",US,3471.2,3595.6,-3,10972.5,31.6
2013,27,Babcock Inter-tio-l1,"Peter Rogers, CEO",UK,3110.7661,2856.1,9,4785.794,65
2013,28,DynCorp Inter-tio-l,"Steven Gaffney, Chairman & CEO",US,3100.312855,2776.1,12,4044.275332,76.7
2013,29,ATK6,"Mark DeYoung, President & CEO",US,3047,3250,-6,4362,69.9
2013,30,Saab,"HÃ¥kan Buskhe, President & CEO",Sweden,3013.08,3258.9,-8,3546.277,85
2013,31,Rheinmetall,"Armin Papperger, CEO",Germany,3001.876,2980.3,1,6047.4624,49.6
2013,32,CACI Inter-tio-l 7,"Ken Asbury, President & CEO",US,2944.924,2858.721,3,3774.473,78
2013,33,Mitsubishi Heavy Industries8,"Hideaki Omiya, President",Japan,2907.63,3610,-19,36689.62,7.9
2013,34,Harris7,"William Brown, President & CEO",US,2794.4,2984.7,-6,5451.3,51.3
2013,35,Elbit Systems1,"Bezhalel Machlis, President & CEO",Israel,2744.17665,2676.6,3,2888.607,95
2013,36,Hewlett-Packard,"Meg Whitman, President & CEO",US,2668.822143,2235.9,19,119895,2.2
2013,37,Hindustan Aero-utics6,"Ravindra Tyagi, Chairman",India,2619.828,2769.6,-5,2619.828,100
2013,38,Rockwell Collins9,"Clay Jones, Chairman & CEO",US,2591,2813,-8,4726,54.8
2013,39,Israel Aerospace Industries,"Joseph Weiss, President & CEO",Israel,2553,2508,2,3338,76.5
2013,40,Bechtel,"Craig Albert, President",US,2500,2400,4,37900,6.6
2013,41,ManTech,"George Pederson, Chairman & CEO",US,2464,2772,-11,2582.295,95.4
2013,43,Aviation Holding Co. Sukhoi1,"Igor Yakovlevich Ozar, General Director",Russia,2270.83104,2479.5,-8,2365.449,96
2013,44,NEC8,"Nobuhiro Endo, President",Japan,1974.72,1438.8,37,37166.36,5.3
2013,45,Serco1,"Christopher Hyman, CEO",UK,1946.407775,1900,2,7785.6311,25
2013,46,Cobham,"Bob Murphy, CEO",UK,1890.5471,1894.4,0,2771.6403,68.2
2013,47,ST Engineering,"Tan Pheng Hock, President & CEO",Singapore,1889.148501,1955.2,-3,5105.80676,37
2013,48,Fluor10,"David Seaton, Chairman & CEO",US,1865.350392,2735.5,-32,27577.135,6.8
2013,49,United Engine-Building1,"Vladislav Masalov, General Director",Russia,1857.627,1245.9,49,4128.06,45
2013,50,GKN Aerospace,"Marcus Bryson, CEO",UK,1806.558,1371.4,32,2820.766,64
2013,51,Kawasaki Heavy Industries8,"Shigeru Murayama, President",Japan,1790.8,2623.8,-32,15595.4601,11.5
2013,52,Rafael Advanced Defense Systems,"Yedidia Yaari, President & CEO",Israel,1781.4932,1979,-10,1781.4932,100
2013,53,Mitsubishi Electric8,"Kenichiro Yamanishi, Representative Executive Officer",Japan,1500.4,1441.3,4,43161.91,3.5
2013,55,Dassault Aviation,"Eric Trappier, Chairman & CEO",France,1470.7264,1238.9,19,5066.85043,29
2013,56,Jacobs Engineering,"Craig Martin, President & CEO",US,1441.255,1036.3,39,10893.778,13.2
2013,57,QinetiQ6,"Leo Quinn, CEO",UK,1410.383,1579.3,-11,2104.16466,67
2013,58,Kongsberg,"Walter Qvam, President & CEO",Norway,1183.165984,1444.3,-18,2689.0136,44
2013,59,Fincantieri,"Giuseppe Bono, CEO",Italy,1149.837421,1085.9,6,3066.156,37.5
2013,60,Chemring5,"Mark Papworth, CEO",UK,1133.37744,1156,-2,1172.678,96.6
2013,61,Embraer,"Frederico Fleury Curado, President & CEO",Brazil,1068.061654,866.8,23,6259.723947,17.1
2013,62,Irkut,"Oleg Demchenko, President",Russia,1045.087,1286.2,-19,1530.855,68.3
2013,63,Krauss-Maffei Wegmann,"Frank Haun, President & CEO",Germany,1028.48,1308.5,-21,1028.48,100
2013,64,#NAME?,"Troy Clarke, President & CEO",US,1000,2000,-50,12948,7.7
2013,65,Samsung Techwin,"Kim Cheol-kyo, CEO",So. Korea,990,1092,-9,2700,36.7
2013,66,Meggitt1,"Terry Twigger, CEO",UK,988.8528,938.8,5,2535.52,39
2013,67,Ruag1,"Ko-ad Peter, Executive Chairman",Swiss,964.60105,844.7,14,1929.2021,50
2013,68,Ultra Electronics1,"Rakash Sharma, CEO",UK,964.511808,961.5,0,1205.63976,80
2013,69,Bharat Electronics6,"Anil Kumar, Chairman & Ma-ging Director",India,956.90334,943.1,1,1100.230038,87
2013,70,Nexter,"Philippe Burtin, Chairman & CEO",France,953.85092,1184.6,-19,953.85092,100
2013,71,AAR13,"David Storch, Chairman & CEO",US,930.409,962,-3,2064.998,45.1
2013,72,Wyle,"George Melton, Chairman, Presient & CEO",US,913.134,829.019802,10,1155.866,79
2013,73,Cubic5,"William Boyle, CEO",US,866.8,869,0,1381.5,62.7
2013,74,Aselsan,"Cengiz Ergeneman, CEO",Turkey,862.365671,848.4,2,906.584063,95.1
2013,75,Accenture14,"Pierre -nterme, Chairman & CEO",US,860,758,13,27900,3.1
2013,76,Moog,"John Scannell, Chairman & CEO",US,857.059,855,0,2469.536,34.7
2013,77,LIG Nex1,"Lee Hyo-koo, CEO",So. Korea,856.89,823.5,4,856.89,100
2013,78,Patria,"Heikki Allonen, President & CEO",Finland,851.0672,779.5,9,946.33016,89.9
2013,79,CAE,"Marc Parent, President & CEO",canada,833.48216,904.5,-8,2102.18505,39.6
2013,80,RTI,"Boev Sergey, General Director",Russia,801.754445,718.1,12,2371.786182,33.8
2013,81,Mission Essential,"Peter Horvath, Chairman & CEO",US,797.4,718.2,11,797.4,100
2013,82,Curtiss-Wright,"Martin Be-nte, Chairman & CEO",US,779.521,819.9,-5,2097.7,37.2
2013,83,Alion Science and Technology,"Bahman Atefi, Chairman & CEO",US,748.418,726.128,3,817.204,91.6
2013,84,Diehl Defence Holding,"Claus GÃ¼nther, CEO",Germany,707.08,946.6,-25,3638.248,19.4
2013,85,Turkish Aerospace Industries,"Muharrem DÃ¶rtka?li, President & CEO",Turkey,693.414284,737.847074,-6,832.881848,83.3
2013,86,Battelle5,"Jeffrey Wadsworth, President & CEO",US,688,718.9,-4,6100,11.3
2013,87,Korea Aerospace Industries,"Ha Sung-yong, CEO",So. Korea,672.48,898.2,-25,1377,48.8
2013,88,FLIR,"Andrew Teich, President & CEO",US,619.2,712.3,-13,1405.4,44.1
2013,89,Toshiba8,"Norio Sasaki, President & CEO",Japan,608.63,630,-3,70183.63,0.9
2013,90,Ball Aerospace & Technologies,"Robert Strain, President",US,603,491.2,23,873.3,69
2013,91,Indra,"Javier MonzÃ³n, Chairman",Spain,595.466136,709.7,-16,3780.923739,15.7
2013,92,#NAME?,"Edgar Fossheim, President & CEO",Norway,595.1152,565.7,5,595.1152,100
2013,93,RSK MiG,"Sergey Sergeyevich Korotkov, General Director",Russia,578.151688,700,-17,578.939261,99.9
2013,94,ViaSat6,"Mark Dankberg, Chairman & CEO",US,527.8,389.3,36,1119.7,47.1
2013,95,Israel Military Industries,"Avi Felder, President & CEO",Israel,520,485.9,7,520,100
2013,96,Denel,"Zoli Kunene, Chairman",So Africa,434.9392,449.7516,-3,434.9392,100
2013,97,Fujitsu8,"Masami Yamamoto, President",Japan,363,661.3,-45,53018.57,0.7
2013,98,Day & Zimmermann,"Harold Yoh, Chairman & CEO",US,346,489.6,-29,2400,14.4
2013,99,IHI8,"Tamotsu Saito, President & CEO",Japan,335.17,413.826,-19,15198.1929,2.2
2013,100,Komatsu8,"Tetsuji Ohashi, President & CEO",Japan,323.07,390.446,-17,22807.29,1.4
2012,1,Lockheed Martin,"Robert Stevens, Chairman and CEO",U.S.,43978,42800,3,46499,94.6
2012,2,Boeing,"W. James McNerney, Chairman, President and CEO",U.S.,30700,30858,-1,68735,44.7
2012,3,BAE Systems,"Ian King, CEO",U.K.,29130.2,33109.5,-12,30723,94.8
2012,4,General Dy-mics,"Jay Johnson, Chairman and CEO",U.S.,25506,26622,-4,32677,78.1
2012,5,Raytheon,"William Swanson, Chairman and CEO",U.S.,23055.6,23420.2,-2,24791,93
2012,6,Northrop Grumman,"Wes Bush, Chairman, President and CEO",U.S.,21400,31181,-31,26400,81.1
2012,7,EADS,"Louis Gallois, CEO",Netherlands,16092.9,16286.7,-1,68386.2,23.5
2012,8,Finmeccanica,"Giuseppe Orsi, CEO",Italy,14584.6,14442.9,1,24106.8,60.5
2012,9,L-3 Communications,"Michael Strianese, Chairman, President and CEO",U.S.,12521,13074,-4,15169,82.5
2012,10,United Technologies,"Louis ChÃªnevert, President and CEO",U.S.,11000,11600,-5,55800,19.7
2012,11,Thales,"Luc Vigneron, Chairman and CEO",France,9492.6,9956,-5,18135,52.3
2012,12,SAIC,"John Jumper, President and CEO",U.S.,8577,8677,-1,10657,80.5
2012,14,Honeywell,"David Cote, Chairman and CEO",U.S.,5300,5400,-2,36500,14.5
2012,15,Booz Allen Hamilton,"Ralph Shrader, Chairman, President and CEO",U.S.,4860,4662,4,5900,82.4
2012,16,Rolls-Royce,"John Rishton, CEO",U.K.,4691.5,4483.3,5,17432,26.9
2012,17,CSC8,"Michael Laphen, Chairman, President and CEO",U.S.,4498,4502,0,16042,28
2012,18,Oshkosh,"Charles Szews, President and CEO",U.S.,4365.2,7161.7,-39,7584.7,57.6
2012,19,Textron,"Scott Donnelly, Chairman and CEO",U.S.,4171,3999.5,4,11275,37
2012,20,GE,"Jeffrey Immelt, Chairman and CEO",U.S.,4100,4100,0,147300,2.8
